3m      6m      1y       2y      3y      4y      5y      6y      7y      8y      9y     10y     15y     20y      30y        
0.085	0.095	0.19	0.431	0.734	1.02	1.257	1.508	1.764	1.869	1.931	2.074	2.301	2.422	2.405
0.075	0.07	0.22	0.431	0.724	0.979	1.195	1.425	1.658	1.763	1.803	1.923	2.162	2.308	2.279
0.06	0.11	0.17	0.371	0.654	0.949	1.155	1.374	1.596	1.701	1.774	1.871	2.11	2.193	2.202
0.065	0.11	0.23	0.441	0.734	0.999	1.237	1.472	1.71	1.816	1.878	1.975	2.168	2.203	2.228
0.05	0.08	0.17	0.401	0.694	0.949	1.175	1.41	1.648	1.753	1.827	1.958	2.161	2.171	2.209
0.045	0.07	0.18	0.351	0.643	0.908	1.145	1.395	1.65	1.777	1.828	1.959	2.221	2.228	2.266
0.046	0.07	0.14	0.341	0.613	0.888	1.114	1.37	1.629	1.756	1.807	1.927	2.236	2.255	2.306
0.037	0.06	0.14	0.321	0.593	0.858	1.094	1.328	1.566	1.671	1.756	1.864	2.16	2.205	2.24
0.037	0.065	0.14	0.331	0.623	0.868	1.104	1.338	1.576	1.703	1.776	1.896	2.24	2.295	2.396
0.034	0.06	0.11	0.301	0.563	0.817	1.043	1.282	1.525	1.641	1.736	1.822	2.153	2.184	2.298
0.04	0.07	0.15	0.381	0.633	0.878	1.093	1.317	1.544	1.66	1.744	1.83	2.127	2.147	2.278
0.04	0.12	0.13	0.381	0.633	0.867	1.083	1.307	1.534	1.639	1.712	1.82	2.128	2.185	2.299
0.04	0.12	0.17	0.361	0.593	0.827	1.032	1.25	1.471	1.576	1.671	1.757	2.076	2.121	2.249
0.1	0.17	0.23	0.431	0.684	0.908	1.103	1.3	1.5	1.616	1.712	1.809	2.105	2.175	2.292
0.17	0.2	0.24	0.471	0.724	0.948	1.143	1.357	1.573	1.667	1.752	1.849	2.135	2.217	2.321
0.17	0.22	0.26	0.431	0.694	0.928	1.144	1.362	1.584	1.679	1.785	1.815	2.183	2.277	2.39
0.21	0.23	0.26	0.401	0.653	0.887	1.103	1.316	1.532	1.627	1.733	1.853	2.149	2.269	2.386
0.15	0.24	0.26	0.401	0.653	0.887	1.093	1.306	1.522	1.627	1.734	1.853	2.15	2.269	2.386
0.14	0.21	0.22	0.361	0.623	0.857	1.062	1.275	1.491	1.596	1.703	1.822	2.142	2.286	2.404
0.12	0.199	0.22	0.371	0.613	0.847	1.052	1.26	1.47	1.586	1.704	1.812	2.096	2.228	2.361
0.243	0.28	0.3	0.461	0.693	0.917	1.102	1.305	1.51	1.637	1.744	1.852	2.125	2.258	2.378
0.3	0.335	0.35	0.481	0.703	0.927	1.143	1.351	1.562	1.7	1.818	1.927	2.235	2.367	2.487
0.325	0.344	0.411	0.571	0.804	1.049	1.266	1.48	1.697	1.813	1.92	2.018	2.292	2.439	2.586
0.32	0.346	0.441	0.622	0.855	1.11	1.337	1.557	1.78	1.896	2.026	2.112	2.376	2.497	2.685
0.32	0.384	0.36	0.551	0.804	0.998	1.256	1.459	1.665	1.793	1.878	2.009	2.307	2.401	2.632
0.335	0.388	0.401	0.571	0.804	1.018	1.266	1.48	1.697	1.824	1.932	2.04	2.374	2.506	2.69
0.345	0.405	0.41	0.541	0.753	0.957	1.204	1.418	1.635	1.773	1.88	2.011	2.38	2.511	2.718
0.32	0.395	0.441	0.581	0.804	0.967	1.214	1.412	1.613	1.751	1.869	2	2.405	2.561	2.748
0.47	0.41	0.431	0.541	0.764	0.937	1.184	1.376	1.571	1.698	1.839	1.958	2.375	2.544	2.802
0.445	0.395	0.4	0.501	0.733	0.906	1.164	1.372	1.583	1.732	1.895	2.026	2.479	2.686	2.968
0.38	0.375	0.39	0.491	0.703	0.896	1.143	1.341	1.541	1.701	1.863	1.983	2.484	2.677	3.003
0.37	0.372	0.25	0.461	0.693	0.897	1.175	1.362	1.552	1.843	1.861	1.981	2.494	2.727	3.31
0.37	0.37	0.37	0.471	0.693	0.876	1.144	1.331	1.52	1.68	1.798	1.917	2.429	2.636	3.091
0.375	0.385	0.38	0.501	0.733	0.896	1.153	1.325	1.498	1.658	1.798	1.917	2.393	2.613	3.086
0.366	0.383	0.36	0.491	0.693	0.866	1.092	1.279	1.468	1.627	1.756	1.853	2.315	2.522	2.99
0.395	0.4	0.37	0.481	0.683	0.845	1.071	1.232	1.394	1.553	1.649	1.712	2.173	2.353	2.84
0.395	0.385	0.41	0.491	0.673	0.805	0.999	1.165	1.332	1.48	1.63	1.671	2.119	2.287	2.811
0.39	0.41	0.39	0.481	0.642	0.764	0.938	1.108	1.281	1.44	1.579	1.664	2.146	2.352	2.895
0.444	0.422	0.471	0.531	0.682	0.855	1.04	1.211	1.384	1.532	1.671	1.735	2.148	2.329	2.883
0.57	0.446	0.43	0.471	0.622	0.784	0.958	1.103	1.249	1.44	1.557	1.653	2.112	2.33	2.883
0.4	0.413	0.39	0.451	0.622	0.805	1	1.16	1.322	1.513	1.631	1.716	2.141	2.359	2.914
0.405	0.412	0.33	0.39	0.562	0.745	0.939	1.109	1.282	1.484	1.612	1.697	2.133	2.351	2.873
0.345	0.31	0.33	0.37	0.562	0.704	0.888	1.011	1.136	1.337	1.453	1.527	2.007	2.211	2.785
0.36	0.338	0.29	0.35	0.512	0.684	0.868	1.002	1.137	1.337	1.432	1.54	1.996	2.187	2.704
0.34	0.326	0.27	0.29	0.461	0.603	0.797	0.915	1.034	1.245	1.35	1.446	1.889	2.055	2.57
0.33	0.325	0.33	0.38	0.562	0.734	0.908	1.037	1.167	1.336	1.431	1.538	1.959	2.114	2.59
0.28	0.287	0.28	0.29	0.441	0.603	0.776	0.91	1.045	1.234	1.329	1.458	1.889	2.08	2.509
0.23	0.22	0.25	0.27	0.431	0.593	0.766	0.895	1.024	1.213	1.308	1.415	1.845	2.011	2.443
0.195	0.195	0.2	0.25	0.381	0.563	0.757	0.906	1.056	1.224	1.33	1.448	1.867	1.971	2.418
0.107	0.107	0.14	0.17	0.271	0.422	0.605	0.743	0.882	1.039	1.144	1.217	1.621	1.714	2.149
0.115	0.085	0.1	0.14	0.271	0.442	0.625	0.758	0.892	1.038	1.143	1.217	1.644	1.725	2.148
0.085	0.072	0.04	0.07	0.17	0.311	0.504	0.647	0.791	0.947	1.073	1.168	1.605	1.709	2.146
0.048	0.045	0.03	0.09	0.2	0.372	0.534	0.667	0.801	0.957	1.083	1.156	1.582	1.674	2.111
0.055	0.043	0.04	0.13	0.271	0.432	0.595	0.738	0.882	1.05	1.165	1.293	1.756	1.872	2.287
0.046	0.043	0.04	0.11	0.251	0.402	0.574	0.728	0.883	1.05	1.155	1.305	1.745	1.848	2.319
0.035	0.035	0.04	0.11	0.261	0.463	0.666	0.846	1.028	1.217	1.323	1.485	1.939	2.029	2.536
0.027	0.029	0.02	0.09	0.241	0.422	0.646	0.841	1.039	1.228	1.345	1.507	2.044	2.195	2.705
0.021	0.023	0.02	0.08	0.2	0.352	0.544	0.713	0.884	1.083	1.22	1.338	1.871	2.035	2.599
0.02	0.021	0.01	0.09	0.21	0.382	0.575	0.739	0.904	1.114	1.252	1.402	1.925	2.101	2.667
0.011	0.01	0.03	0.04	0.13	0.281	0.463	0.627	0.792	0.98	1.149	1.288	1.843	2.018	2.611
0.007	0.007	0.027	0.04	0.13	0.271	0.433	0.611	0.792	0.969	1.149	1.288	1.809	1.984	2.531
0.008	0.006	0.01	0.05	0.17	0.311	0.463	0.637	0.812	0.979	1.138	1.276	1.82	2.008	2.466
0.007	0.006	0.02	0.04	0.14	0.271	0.423	0.586	0.751	0.938	1.118	1.257	1.776	1.989	2.417
0.007	0.006	0.01	0.05	0.15	0.301	0.443	0.611	0.781	0.959	1.149	1.266	1.821	2.034	2.434
0.01	0.007	0.01	0.04	0.13	0.271	0.402	0.565	0.73	0.897	1.076	1.236	1.767	1.955	2.37
0.015	0.011	0.01	0.04	0.14	0.271	0.392	0.555	0.72	0.886	1.033	1.237	1.744	1.945	2.357
0.015	0.011	0.01	0.05	0.15	0.281	0.392	0.555	0.72	0.897	1.044	1.226	1.733	1.933	2.346
0.014	0.012	0.01	0.05	0.16	0.291	0.402	0.576	0.751	0.938	1.097	1.301	1.821	2.059	2.489
0.016	0.012	0.01	0.05	0.16	0.311	0.443	0.632	0.823	1.011	1.17	1.342	1.875	2.101	2.561
0.022	0.025	0.03	0.06	0.17	0.342	0.494	0.688	0.885	1.094	1.254	1.426	1.985	2.237	2.672
0.028	0.023	0.01	0.07	0.18	0.311	0.463	0.647	0.833	1.021	1.191	1.352	1.885	2.111	2.558
0.028	0.023	0.03	0.11	0.22	0.351	0.503	0.687	0.874	1.073	1.253	1.448	1.96	2.212	2.632
0.03	0.028	0.03	0.11	0.19	0.311	0.463	0.647	0.833	1.032	1.212	1.373	1.895	2.122	2.543
0.013	0.016	0.01	0.07	0.16	0.291	0.433	0.616	0.802	1.022	1.235	1.407	1.93	2.169	2.589
0.013	0.014	0.02	0.07	0.16	0.331	0.463	0.652	0.843	1.053	1.255	1.428	1.939	2.14	2.562
0.008	0.01	0.02	0.08	0.17	0.341	0.483	0.672	0.864	1.063	1.233	1.427	1.915	2.116	2.538
0.002	0.003	0.06	0.07	0.16	0.341	0.493	0.693	0.895	1.116	1.286	1.481	1.946	2.16	2.571
0.004	0.004	0.03	0.06	0.13	0.301	0.453	0.668	0.885	1.106	1.298	1.493	1.97	2.159	2.568
0.011	0.007	0.03	0.07	0.18	0.331	0.483	0.683	0.885	1.095	1.275	1.47	1.947	2.136	2.545
0.006	0.006	0.02	0.09	0.19	0.341	0.493	0.693	0.895	1.115	1.307	1.48	1.958	2.146	2.556
0.007	0.006	0.02	0.09	0.17	0.331	0.473	0.662	0.853	1.084	1.265	1.449	1.985	2.135	2.632
0.012	0.009	0.02	0.09	0.19	0.331	0.483	0.672	0.864	1.095	1.276	1.46	2.007	2.157	2.714
0.011	0.009	0.02	0.09	0.19	0.331	0.463	0.647	0.833	1.053	1.244	1.439	1.986	2.136	2.723
0.015	0.009	0.02	0.1	0.2	0.331	0.453	0.631	0.812	1.032	1.212	1.418	1.953	2.115	2.699
0.01	0.01	0.02	0.1	0.21	0.341	0.463	0.636	0.812	1.032	1.201	1.407	1.906	2.057	2.592
0.013	0.013	0.02	0.1	0.2	0.341	0.473	0.657	0.843	1.052	1.233	1.428	1.939	2.102	2.609
0.017	0.016	0.02	0.1	0.21	0.362	0.514	0.703	0.894	1.104	1.274	1.48	1.934	2.111	2.604
0.021	0.016	0.02	0.09	0.21	0.372	0.514	0.693	0.873	1.083	1.242	1.437	1.925	2.114	2.578
0.027	0.021	0.02	0.13	0.271	0.422	0.554	0.738	0.925	1.124	1.283	1.456	1.945	2.109	2.618
0.027	0.026	0.02	0.11	0.23	0.392	0.534	0.728	0.925	1.135	1.295	1.468	1.956	2.171	2.743
0.04	0.034	0.03	0.11	0.23	0.372	0.503	0.687	0.873	1.083	1.253	1.448	1.936	2.15	2.736
0.028	0.025	0.02	0.09	0.21	0.362	0.483	0.662	0.843	1.052	1.222	1.405	1.905	2.106	2.721
0.013	0.007	0.03	0.09	0.22	0.392	0.534	0.723	0.915	1.136	1.295	1.457	1.945	2.147	2.75
0.013	0.012	0.03	0.1	0.241	0.422	0.585	0.78	0.977	1.187	1.336	1.487	1.965	2.167	2.77
0.007	0.007	0.03	0.1	0.251	0.432	0.585	0.779	0.977	1.187	1.336	1.498	1.964	2.166	2.786
0.003	0.003	0.02	0.11	0.281	0.473	0.635	0.841	1.049	1.26	1.376	1.539	1.982	2.185	2.804
0.002	0.002	0.01	0.1	0.261	0.483	0.687	0.913	1.143	1.366	1.428	1.601	2.022	2.239	2.83
0.001	0.001	0.02	0.12	0.271	0.513	0.727	0.96	1.195	1.451	1.468	1.71	2.132	2.31	2.921
0.001	0.001	0.02	0.11	0.23	0.442	0.646	0.872	1.102	1.411	1.451	1.726	2.147	2.299	2.893
0.001	0.001	0.02	0.1	0.251	0.453	0.646	0.867	1.091	1.389	1.44	1.681	2.09	2.268	2.8
0.001	0.001	0.02	0.12	0.261	0.463	0.656	0.867	1.08	1.389	1.44	1.681	2.114	2.279	2.826
0.001	0.001	0.02	0.13	0.271	0.463	0.656	0.862	1.07	1.346	1.429	1.648	2.081	2.259	2.788
0.001	0.001	0.02	0.1	0.241	0.422	0.605	0.821	1.039	1.304	1.366	1.595	2.015	2.193	2.721
0.001	0.001	0.01	0.1	0.231	0.412	0.585	0.795	1.008	1.284	1.389	1.607	2.039	2.179	2.673
0.001	0.001	0.01	0.05	0.2	0.392	0.565	0.78	0.998	1.252	1.347	1.621	2.064	2.228	2.635
0.001	0.001	0.01	0.06	0.18	0.352	0.534	0.744	0.957	1.221	1.305	1.567	1.998	2.188	2.685
0.001	0.001	0.01	0.05	0.17	0.342	0.534	0.734	0.936	1.19	1.284	1.535	1.965	2.155	2.621
0.001	0.002	0.01	0.05	0.16	0.331	0.524	0.729	0.937	1.19	1.284	1.546	1.942	2.144	2.566
0.001	0.001	0.01	0.04	0.15	0.342	0.534	0.745	0.957	1.211	1.305	1.556	1.987	2.151	2.559
0.001	0.001	0.05	0.07	0.19	0.382	0.554	0.765	0.978	1.22	1.337	1.588	1.996	2.186	2.611
0.003	0.001	0.02	0.04	0.14	0.311	0.484	0.709	0.937	1.169	1.296	1.547	1.978	2.142	2.609
0.002	0.002	0.02	0.05	0.14	0.332	0.483	0.698	0.916	1.148	1.285	1.514	1.933	2.135	2.631
0.005	0.002	0.01	0.04	0.14	0.321	0.484	0.688	0.895	1.137	1.264	1.515	1.898	2.126	2.535
0.004	0.002	0.01	0.05	0.17	0.362	0.534	0.75	0.968	1.2	1.305	1.522	1.93	2.145	2.557
0.005	0.002	0.01	0.05	0.15	0.331	0.494	0.704	0.916	1.148	1.285	1.525	1.944	2.133	2.531
