gender  age     ritsu
M	0	1056
M	2	237
M	7	131
M	12	119
M	17	144
M	22	186
M	27	232
M	32	288
M	37	381
M	42	497
M	47	665
M	52	966
M	57	1254
M	62	1633
M	67	2098
M	72	2874
M	77	3860
M	82	5115
M	87	7188
M	95	10462
F	0	1022
F	2	164
F	7	95
F	12	99
F	17	121
F	22	239
F	27	365
F	32	404
F	37	368
F	42	374
F	47	475
F	52	649
F	57	822
F	62	1070
F	67	1475
F	72	2185
F	77	3266
F	82	5225
F	87	8125
F	95	12480
